REF_DATE,GEO,DGUID,Age group,Labour force status of students and non-students,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1995/1996,Canada,2021A000011124,15-29 years old,Total labour Force status,Percent,239,units,0,v99916096,1.1.1,100,,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Non-students,Percent,239,units,0,v99916097,1.1.2,56.9,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Non-student employed,Percent,239,units,0,v99916098,1.1.3,42.1,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Non-student not in the labour force,Percent,239,units,0,v99916099,1.1.4,8.3,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Non-student unemployed,Percent,239,units,0,v99916100,1.1.5,6.5,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Students,Percent,239,units,0,v99916101,1.1.6,42.9,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,University student employed,Percent,239,units,0,v99916102,1.1.7,4.8,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,University student not in the labour force,Percent,239,units,0,v99916103,1.1.8,5.5,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,College student employed,Percent,239,units,0,v99916104,1.1.9,4.1,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,College student not in the labour force,Percent,239,units,0,v99916105,1.1.10,4.4,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Elementary and/or High school student employed,Percent,239,units,0,v99916106,1.1.11,6.5,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Elementary and/or High school student not in the labour force,Percent,239,units,0,v99916107,1.1.12,13.2,A,,,1
1995/1996,Canada,2021A000011124,15-29 years old,Student unemployed or Other,Percent,239,units,0,v99916108,1.1.13,4.2,A,,,1
1995/1996,Canada,2021A000011124,15 years old,Total labour Force status,Percent,239,units,0,v99916109,1.2.1,100,,,,1
1995/1996,Canada,2021A000011124,15 years old,Non-students,Percent,239,units,0,v99916110,1.2.2,2.4,B,,,1
1995/1996,Canada,2021A000011124,15 years old,Non-student employed,Percent,239,units,0,v99916111,1.2.3,,x,,,1
1995/1996,Canada,2021A000011124,15 years old,Non-student not in the labour force,Percent,239,units,0,v99916112,1.2.4,1.8,B,,,1
1995/1996,Canada,2021A000011124,15 years old,Non-student unemployed,Percent,239,units,0,v99916113,1.2.5,,x,,,1
1995/1996,Canada,2021A000011124,15 years old,Students,Percent,239,units,0,v99916114,1.2.6,97.6,A,,,1
